Time,Phase_Change_Indices
1738245279.155326,0.0
1738245279.170053,0.0
1738245279.1882184,0.0
1738245279.2048628,0.0
1738245279.2195451,0.0
1738245279.2385788,0.0
1738245279.255171,0.0
1738245279.270133,0.0
1738245279.2886083,0.0
1738245279.3053365,0.0
1738245279.3205953,0.0
1738245279.3387952,0.0
1738245279.3557618,0.0
1738245279.3703055,0.0
1738245279.3894105,0.0
1738245279.406036,0.0
1738245279.420402,0.0
1738245279.43887,0.0
1738245279.4557118,0.0
1738245279.470894,0.0
1738245279.488983,0.0
1738245279.5063674,0.0
1738245279.5210116,0.0
1738245279.539494,0.0
1738245279.556767,0.0
1738245279.5709314,0.0
1738245279.589461,0.0
1738245279.6056128,0.0
1738245279.6217723,0.0
1738245279.6394176,0.0
1738245279.656764,0.0
1738245279.671496,0.0
1738245279.689651,0.0
1738245279.7071111,0.0
1738245279.7214012,0.0
1738245279.7396522,0.0
1738245279.756734,0.0
1738245279.7720933,0.0
1738245279.7895565,0.0
1738245279.806882,0.0
1738245279.8215303,0.0
1738245279.8398466,0.0
1738245279.8563893,0.0
1738245279.8721125,0.0
1738245279.890209,0.0
1738245279.9063957,0.0
1738245279.9216444,0.0
1738245279.9403353,0.0
1738245279.9572442,0.0
1738245279.972637,0.0
1738245279.9904535,0.0
1738245280.0068083,0.0
1738245280.022119,0.0
1738245280.040207,0.0
1738245280.0570505,0.0
1738245280.0723736,0.0
1738245280.090753,0.0
1738245280.107618,0.0
1738245280.1227696,0.0
1738245280.140567,0.0
1738245280.157686,0.0
1738245280.17224,0.0
1738245280.19068,0.0
1738245280.2070663,0.0
1738245280.2226574,0.0
